TIPO,ESTRATO ,CONSUMO JULIO 2020,CONSUMO AGOSTO 2020.,CONSUMO SEPTIEMBRE 2020.,CONSUMO OCTUBRE 2020.,CONSUMO NOVIEM 2020.,CONSUMO DICIEMBRE 2020.,PROMEDIO
RESIDENCIAL,ESTRATO 2,0,0,15,0,0,0,2.5
RESIDENCIAL,ESTRATO 2,3,2,3,2,2,1,2.166666667
RESIDENCIAL,ESTRATO 4,12,6,10,15,12,10,10.83333333
RESIDENCIAL,ESTRATO 2,7,4,7,9,7,5,6.5
RESIDENCIAL,ESTRATO 2,4,2,4,4,3,1,3
RESIDENCIAL,ESTRATO 2,37,28,28,35,20,26,29
RESIDENCIAL,ESTRATO 2,25,15,21,30,1,0,15.33333333
RESIDENCIAL,ESTRATO 4,47,33,50,65,118,0,52.16666667
RESIDENCIAL,ESTRATO 4,16,9,16,13,9,15,13
RESIDENCIAL,ESTRATO 4,69,39,70,79,61,80,66.33333333
RESIDENCIAL,ESTRATO 3,4,3,6,11,7,21,8.666666667
RESIDENCIAL,ESTRATO 3,52,37,49,40,35,34,41.16666667
RESIDENCIAL,ESTRATO 3,16,8,0,36,15,21,16
RESIDENCIAL,ESTRATO 3,7,4,6,7,6,6,6
RESIDENCIAL,ESTRATO 4,52,16,31,24,31,12,27.66666667
RESIDENCIAL,ESTRATO 3,1,0,4,2,0,1,1.333333333
RESIDENCIAL,ESTRATO 4,0,0,13,21,13,20,11.16666667
RESIDENCIAL,ESTRATO 3,17,13,25,40,40,33,28
RESIDENCIAL,ESTRATO 3,89,47,70,65,40,27,56.33333333
RESIDENCIAL,ESTRATO 3,5,4,6,10,0,0,4.166666667
RESIDENCIAL,ESTRATO 4,31,21,36,30,11,2,21.83333333
RESIDENCIAL,ESTRATO 4,17,14,38,43,34,42,31.33333333
RESIDENCIAL,ESTRATO 3,15,2,25,15,12,14,13.83333333
RESIDENCIAL,ESTRATO 2,4,2,3,3,3,3,3
RESIDENCIAL,ESTRATO 2,8,5,7,9,7,10,7.666666667
RESIDENCIAL,ESTRATO 1,25,16,28,25,18,24,22.66666667
RESIDENCIAL,ESTRATO 2,5,8,9,9,6,18,9.166666667
RESIDENCIAL,ESTRATO 2,30,16,23,27,19,28,23.83333333
RESIDENCIAL,ESTRATO 2,21,18,27,29,16,2,18.83333333
RESIDENCIAL,ESTRATO 3,26,0,43,21,16,20,21
RESIDENCIAL,ESTRATO 3,87,30,10,7,11,240,64.16666667
RESIDENCIAL,ESTRATO 3,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 3,1,0,1,1,4,0,1.166666667
RESIDENCIAL,ESTRATO 2,49,26,46,53,38,50,43.66666667
RESIDENCIAL,ESTRATO 2,0,0,1,5,2,1,1.5
RESIDENCIAL,ESTRATO 4,32,22,31,39,27,37,31.33333333
RESIDENCIAL,ESTRATO 2,12,7,12,26,19,21,16.16666667
RESIDENCIAL,ESTRATO 2,12,8,12,15,8,15,11.66666667
RESIDENCIAL,ESTRATO 3,21,7,38,51,37,26,30
RESIDENCIAL,ESTRATO 3,30,81,7,2,0,20,23.33333333
RESIDENCIAL,ESTRATO 4,73,50,80,93,54,82,72
RESIDENCIAL,ESTRATO 3,23,11,18,36,34,79,33.5
RESIDENCIAL,ESTRATO 3,7,7,6,7,5,18,8.333333333
RESIDENCIAL,ESTRATO 3,0,0,1,22,15,24,10.33333333
RESIDENCIAL,ESTRATO 4,20,8,15,13,0,55,18.5
RESIDENCIAL,ESTRATO 3,18,10,18,28,57,0,21.83333333
RESIDENCIAL,ESTRATO 3,9,5,7,8,8,12,8.166666667
RESIDENCIAL,ESTRATO 2,18,11,14,17,18,20,16.33333333
RESIDENCIAL,ESTRATO 2,17,10,16,70,0,0,18.83333333
RESIDENCIAL,ESTRATO 4,6,3,6,3,7,5,5
RESIDENCIAL,ESTRATO 4,3,1,7,6,12,8,6.166666667
RESIDENCIAL,ESTRATO 4,4,3,4,5,3,2,3.5
RESIDENCIAL,ESTRATO 4,4,5,4,5,2,3,3.833333333
RESIDENCIAL,ESTRATO 4,7,3,5,6,2,5,4.666666667
RESIDENCIAL,ESTRATO 4,10,6,7,14,9,10,9.333333333
RESIDENCIAL,ESTRATO 3,0,0,9,1,20,12,7
RESIDENCIAL,ESTRATO 3,0,1,0,0,1,0,0.3333333333
RESIDENCIAL,ESTRATO 3,54,20,22,22,24,32,29
RESIDENCIAL,ESTRATO 3,10,5,7,5,6,4,6.166666667
RESIDENCIAL,ESTRATO 3,16,3,8,6,5,6,7.333333333
RESIDENCIAL,ESTRATO 4,9,5,8,4,4,4,5.666666667
RESIDENCIAL,ESTRATO 4,21,11,14,20,15,11,15.33333333
RESIDENCIAL,ESTRATO 3,30,10,16,16,1,32,17.5
RESIDENCIAL,ESTRATO 3,12,8,9,10,11,10,10
RESIDENCIAL,ESTRATO 3,2,2,2,6,3,1,2.666666667
RESIDENCIAL,ESTRATO 3,0,6,0,8,10,0,4
RESIDENCIAL,ESTRATO 3,9,12,16,21,12,24,15.66666667
RESIDENCIAL,ESTRATO 3,41,26,32,24,22,33,29.66666667
RESIDENCIAL,ESTRATO 3,4,4,5,5,4,10,5.333333333
RESIDENCIAL,ESTRATO 3,12,6,20,21,6,18,13.83333333
RESIDENCIAL,ESTRATO 3,15,9,14,18,15,20,15.16666667
RESIDENCIAL,ESTRATO 3,0,0,0,0,5,28,5.5
RESIDENCIAL,ESTRATO 4,103,59,80,89,63,78,78.66666667
RESIDENCIAL,ESTRATO 4,7,4,6,8,7,8,6.666666667
RESIDENCIAL,ESTRATO 2,6,3,6,9,0,28,8.666666667
RESIDENCIAL,ESTRATO 2,13,9,15,18,11,0,11
RESIDENCIAL,ESTRATO 3,15,16,16,12,0,7,11
RESIDENCIAL,ESTRATO 3,14,18,11,24,12,25,17.33333333
RESIDENCIAL,ESTRATO 2,50,32,43,15,58,39,39.5
RESIDENCIAL,ESTRATO 3,23,17,15,22,17,69,27.16666667
RESIDENCIAL,ESTRATO 2,28,24,27,32,19,24,25.66666667
RESIDENCIAL,ESTRATO 2,11,9,8,15,8,12,10.5
RESIDENCIAL,ESTRATO 2,27,23,28,37,19,35,28.16666667
RESIDENCIAL,ESTRATO 2,23,16,17,23,12,30,20.16666667
RESIDENCIAL,ESTRATO 2,28,41,57,95,56,121,66.33333333
RESIDENCIAL,ESTRATO 2,71,78,9,23,12,30,37.16666667
RESIDENCIAL,ESTRATO 2,22,15,17,14,12,19,16.5
RESIDENCIAL,ESTRATO 2,13,8,10,11,8,22,12
RESIDENCIAL,ESTRATO 2,5,40,21,26,14,32,23
RESIDENCIAL,ESTRATO 2,22,33,51,32,33,102,45.5
RESIDENCIAL,ESTRATO 2,18,12,13,16,8,19,14.33333333
RESIDENCIAL,ESTRATO 2,21,16,15,16,8,29,17.5
RESIDENCIAL,ESTRATO 2,71,41,51,66,34,62,54.16666667
RESIDENCIAL,ESTRATO 2,7,15,19,10,5,23,13.16666667
RESIDENCIAL,ESTRATO 2,4,2,2,2,2,3,2.5
RESIDENCIAL,ESTRATO 2,12,18,10,13,9,35,16.16666667
RESIDENCIAL,ESTRATO 2,12,11,8,7,4,13,9.166666667
RESIDENCIAL,ESTRATO 2,25,22,33,38,18,28,27.33333333
RESIDENCIAL,ESTRATO 3,84,54,64,59,42,74,62.83333333
RESIDENCIAL,ESTRATO 2,14,9,10,17,3,38,15.16666667
RESIDENCIAL,ESTRATO 2,6,5,9,8,4,7,6.5
RESIDENCIAL,ESTRATO 2,31,22,24,22,15,30,24
RESIDENCIAL,ESTRATO 2,19,22,24,26,8,25,20.66666667
RESIDENCIAL,ESTRATO 2,18,32,11,14,8,18,16.83333333
RESIDENCIAL,ESTRATO 2,7,6,6,6,8,2,5.833333333
RESIDENCIAL,ESTRATO 2,29,25,24,30,16,37,26.83333333
RESIDENCIAL,ESTRATO 2,8,5,4,1,3,6,4.5
RESIDENCIAL,ESTRATO 2,8,22,26,34,18,43,25.16666667
RESIDENCIAL,ESTRATO 2,30,29,31,25,15,34,27.33333333
RESIDENCIAL,ESTRATO 2,21,19,22,21,11,38,22
RESIDENCIAL,ESTRATO 2,5,3,5,5,2,12,5.333333333
RESIDENCIAL,ESTRATO 2,16,13,14,17,9,19,14.66666667
RESIDENCIAL,ESTRATO 2,13,18,14,15,9,16,14.16666667
RESIDENCIAL,ESTRATO 2,26,19,25,24,16,25,22.5
RESIDENCIAL,ESTRATO 2,15,10,15,3,0,3,7.666666667
RESIDENCIAL,ESTRATO 2,24,35,30,41,19,53,33.66666667
RESIDENCIAL,ESTRATO 3,23,21,22,12,7,24,18.16666667
RESIDENCIAL,ESTRATO 2,57,26,6,11,22,24,24.33333333
RESIDENCIAL,ESTRATO 2,35,11,17,35,13,29,23.33333333
RESIDENCIAL,ESTRATO 2,41,28,25,30,12,35,28.5
RESIDENCIAL,ESTRATO 2,60,46,60,68,40,79,58.83333333
RESIDENCIAL,ESTRATO 2,9,5,6,8,4,8,6.666666667
RESIDENCIAL,ESTRATO 2,21,16,17,22,12,30,19.66666667
RESIDENCIAL,ESTRATO 2,38,25,31,34,31,73,38.66666667
RESIDENCIAL,ESTRATO 2,2,0,1,9,2,10,4
RESIDENCIAL,ESTRATO 2,32,30,33,33,20,39,31.16666667
RESIDENCIAL,ESTRATO 3,13,11,86,12,30,27,29.83333333
RESIDENCIAL,ESTRATO 3,40,21,46,147,15,55,54
RESIDENCIAL,ESTRATO 3,30,33,30,25,18,35,28.5
RESIDENCIAL,ESTRATO 3,40,26,33,29,18,26,28.66666667
RESIDENCIAL,ESTRATO 3,10,5,10,36,20,55,22.66666667
RESIDENCIAL,ESTRATO 3,9,0,0,0,0,0,1.5
RESIDENCIAL,ESTRATO 3,10,9,8,6,8,14,9.166666667
RESIDENCIAL,ESTRATO 3,27,25,25,35,17,34,27.16666667
RESIDENCIAL,ESTRATO 3,19,2,26,37,24,38,24.33333333
RESIDENCIAL,ESTRATO 3,14,11,17,261,10,18,55.16666667
RESIDENCIAL,ESTRATO 3,0,0,0,1,1,0,0.3333333333
RESIDENCIAL,ESTRATO 3,90,77,102,61,110,98,89.66666667
RESIDENCIAL,ESTRATO 2,15,14,13,11,10,25,14.66666667
RESIDENCIAL,ESTRATO 2,1,0,5,0,8,21,5.833333333
RESIDENCIAL,ESTRATO 3,15,8,11,12,7,15,11.33333333
RESIDENCIAL,ESTRATO 3,40,33,42,29,15,18,29.5
RESIDENCIAL,ESTRATO 3,13,11,11,14,7,16,12
RESIDENCIAL,ESTRATO 3,7,8,14,49,3,85,27.66666667
RESIDENCIAL,ESTRATO 3,26,17,21,20,11,22,19.5
RESIDENCIAL,ESTRATO 3,16,12,13,15,9,21,14.33333333
RESIDENCIAL,ESTRATO 3,13,18,24,18,7,67,24.5
RESIDENCIAL,ESTRATO 2,10,0,0,0,1,0,1.833333333
RESIDENCIAL,ESTRATO 2,4,3,4,4,2,5,3.666666667
RESIDENCIAL,ESTRATO 2,25,19,26,29,16,32,24.5
RESIDENCIAL,ESTRATO 2,14,11,12,16,9,17,13.16666667
RESIDENCIAL,ESTRATO 2,0,0,0,1,0,0,0.1666666667
